,age,dec,inc,mad
5,0.701347,340.6,71.2,4.2
7,0.848357,344.2,60.6,9.7
8,0.918442,309.2,71.9,3.4
9,0.985652,357.6,79,5.7
10,1.05362,18.599999999999994,79.2,6.6
11,1.12304,11.900000000000006,81.2,3.2
12,1.19638,325.5,63.1,2.1
13,1.27357,359.8,79.7,1.9
14,1.35645,9.200000000000017,80.1,2.1
15,1.42728,358.1,77.3,3.3
16,1.47056,353,71.5,1.3
17,1.51029,7.700000000000017,66.1,2.4
18,1.54694,343.3,74.1,3.4
20,1.61953,5.400000000000006,75.7,4.2
21,1.65553,353.5,72.6,2.2
22,1.69265,355.8,73.5,2.3
23,1.73088,345.4,65.7,3.4
24,1.77151,353.8,76.7,2.6
25,1.82252,334.2,76.9,5.2
26,1.89006,342.6,66.7,3.8
27,1.94569,342,76.6,4
28,1.99696,338.2,73.7,4.7
29,2.04779,23.80000000000001,77.5,6.6
30,2.09519,5.200000000000017,68.8,1.7
31,2.143,5.200000000000017,70.3,1.5
32,2.19248,5.300000000000011,71.3,2.9
33,2.24312,16.900000000000006,79.3,4.1
34,2.29689,16.80000000000001,72.6,3.8
35,2.3595,13.099999999999994,68.3,5.5
36,2.41954,13,74.7,1.2
37,2.46916,16.599999999999994,72.1,2.1
38,2.5165,31.700000000000017,72.1,2.1
39,2.56163,25.80000000000001,67.4,0.6
40,2.60469,43.70000000000002,59.6,4.5
41,2.64809,42.099999999999994,62.4,2.9
42,2.69058,36.70000000000002,58.7,4.5
43,2.73271,21.30000000000001,63.5,5.2
44,2.77579,40.80000000000001,62.4,4.3
45,2.82036,42.900000000000006,60.4,1.6
46,2.86686,22.599999999999994,33.3,4.7
47,2.9185,35.20000000000002,62.4,8.7
51,3.12711,38.099999999999994,56.1,9.8
52,3.17065,29.5,68.1,7.1
53,3.21331,20.599999999999994,71.5,5
54,3.25954,17.5,67.6,8.9
55,3.31356,352.8,74.5,6
56,3.38122,1.200000000000017,71.9,2.4
57,3.44021,315.4,73.7,2.9
58,3.49514,340.1,72.6,7.5
59,3.54806,1.200000000000017,56.4,2.1
62,3.69852,315.2,64.5,5.1
63,3.74757,320.4,67,7.3
64,3.79888,322,70.2,4.8
65,3.85311,326.7,70.1,2.7
66,3.91142,347.2,67.4,2.5
67,3.98632,5.5,72.2,2.2
68,4.09455,355.6,73.6,2.4
69,4.20168,355.9,71.4,2.8
70,4.30142,352.1,74.7,3.3
71,4.3958,351,70.9,1.9
72,4.48378,353.3,65.8,2.1
73,4.57242,354.4,65.3,1.5
74,4.66494,345.1,59.2,3.7
75,4.7562,334.9,58.8,4.5
76,4.84691,350.2,59.4,1
77,4.94021,326.9,73.1,6.6
78,5.03882,349.4,73.1,4.8
79,5.14654,350.5,63.9,5.4
80,5.25754,346.3,68.8,8.7
81,5.34024,358.6,67.4,3.2
82,5.40206,356.9,66.2,4.7
83,5.45577,353.9,74.7,7.2
84,5.50429,353.2,66.6,4.8
85,5.55296,339.9,64.4,3
86,5.6017,354.7,67.5,2.5
87,5.65504,346.1,56,1.6
88,5.72112,348,65,2.2
89,5.81138,339,55.1,2.7
90,5.8926,346.3,52.4,2.1
91,5.97031,357.2,51.1,3.9
92,6.11381,0.5,56.1,7.9
93,6.18231,359.7,39.5,6.3
95,6.31485,358.1,49.7,3.7
96,6.37985,358.6,40.1,5.6
97,6.44785,357.4,53.1,3.9
98,6.51825,355.8,45.6,2.3
99,6.58969,349.7,45.5,2.4
100,6.66426,355.9,51.3,2.6
101,6.74219,0.8000000000000114,48.7,2.4
102,6.8288,0.9000000000000057,46.2,5
103,6.898063875,359.1,53.7,4.9
104,6.933483294117647,1.4000000000000057,54.3,1.2
105,6.96316,11.200000000000017,60,2.6
106,6.99192,3.5999999999999943,53.8,2.6
107,7.01855,4.099999999999994,57.3,3
108,7.04529,2.3000000000000114,59.2,3.3
109,7.07187,352.7,63.4,2.5
110,7.09773,359.3,65.7,4.2
112,7.14904,7.200000000000017,56,1.8
113,7.1747,9.5,54.1,2
114,7.20165,356.2,60.6,5.2
115,7.2288,0.4000000000000057,57.4,2.2
116,7.25762,358.6,61.7,2.1
117,7.289239411764706,351.2,60.1,1.8
118,7.339310526315789,351.3,64.5,1.5
120,7.53612,1.700000000000017,61.1,2.7
121,7.62723,9.300000000000011,61,1.6
122,7.72054,9.599999999999994,64.7,0.9
123,7.81793,8.900000000000006,66.7,2.6
124,7.91617,0.700000000000017,68.8,2.1
125,7.94782,8.700000000000017,64.9,1.9
126,7.96432,7.5,64.4,1.4
127,7.98859,8.099999999999994,65.7,1
129,8.0377,8.800000000000011,63.5,2.8
130,8.05677,12,63.7,2.6
131,8.07731,3.4000000000000057,65.2,1.9
132,8.12555,14.5,63.1,1.9
133,8.2331,18.099999999999994,61.4,3.7
134,8.3237,21.80000000000001,61.1,0.8
135,8.40977,5.200000000000017,59.2,1.6
136,8.49532,347.7,69.7,2.4
137,8.58387,0.09999999999999432,66.3,2.9
139,8.78663,5.800000000000011,69.1,4.1
140,8.8257,4.5,61,2
141,8.87951,342.5,52.6,2
142,8.93565,332.8,50.9,1.4
143,8.98008,339.1,48.9,4.2
145,9.06277,347.2,41.8,5.9
146,9.10554,6.5,41,6.6
147,9.15537,359.3,54.8,4.3
