Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5H	1.7054E-6	2.8729E-6	8.8903E-5	0.00	90.00	0.00	0.00	59.31	87.85	8.8966E-5	2.6501E-5	4.5416E-5	2.2533E-3	-4.2611E-9	1.4681E-9	-3.9740E-9	8.8903E-5	NA	25023	3.80	5	2.6505E-5	4.5415E-5	2.2533E-3	1	Degauss X, Y, & Z	150	150	150	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	1.3247E-6	2.2627E-6	6.9733E-5	0.00	90.00	0.00	0.00	59.65	87.85	6.9782E-5	2.0591E-5	3.5768E-5	1.7675E-3	2.7549E-9	-1.1735E-9	8.9660E-10	6.9733E-5	NA	25024	3.80	5	2.0588E-5	3.5769E-5	1.7675E-3	1	Degauss X, Y, & Z	200	200	200	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	6.7296E-7	1.1154E-6	3.7743E-5	0.00	90.00	0.00	0.00	58.90	88.02	3.7766E-5	1.0463E-5	1.7626E-5	9.5664E-4	3.7581E-9	-5.2828E-9	3.8440E-10	3.7743E-5	NA	25025	3.80	5	1.0459E-5	1.7632E-5	9.5664E-4	1	Degauss X, Y, & Z	300	300	300	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	4.1130E-7	5.6206E-7	2.0828E-5	0.00	90.00	0.00	0.00	53.80	88.08	2.0839E-5	6.3987E-6	8.8868E-6	5.2790E-4	6.2811E-9	1.7659E-9	1.2849E-9	2.0828E-5	NA	25026	3.80	5	6.3924E-6	8.8850E-6	5.2790E-4	1	Degauss X, Y, & Z	400	400	400	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	2.7460E-7	3.1193E-7	1.0556E-5	0.00	90.00	0.00	0.00	48.64	87.75	1.0564E-5	4.2731E-6	4.9245E-6	2.6755E-4	5.2666E-9	-6.4632E-9	0.0000E+0	1.0556E-5	NA	25027	3.80	5	4.2679E-6	4.9310E-6	2.6755E-4	1	Degauss X, Y, & Z	500	500	500	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	2.1536E-7	7.2285E-9	5.6973E-6	0.00	90.00	0.00	0.00	1.92	87.83	5.7014E-6	3.3481E-6	1.1603E-7	1.4441E-4	1.0029E-9	1.7622E-9	2.4363E-9	5.6973E-6	NA	25028	3.80	5	3.3471E-6	1.1427E-7	1.4440E-4	1	Degauss X, Y, & Z	600	600	600	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	1.4317E-7	-7.2253E-8	1.2675E-6	0.00	90.00	0.00	0.00	333.22	82.79	1.2776E-6	2.2313E-6	-1.1472E-6	3.2127E-5	6.0243E-9	-4.9988E-9	1.0270E-9	1.2675E-6	NA	25029	3.80	5	2.2252E-6	-1.1422E-6	3.2126E-5	1	Degauss X, Y, & Z	800	800	800	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	9.7105E-8	-1.8942E-7	1.3018E-7	0.00	90.00	0.00	0.00	297.14	31.45	2.4951E-7	1.5074E-6	-2.9959E-6	3.2995E-6	-1.7575E-9	-1.4706E-9	0.0000E+0	1.3018E-7	NA	25030	3.80	5	1.5092E-6	-2.9944E-6	3.2995E-6	1	Degauss X, Y, & Z	1000	1000	1000	NA	NA	SAMPLE/CONTINUOUS	YES	NO
C5H	-8.0966E-7	5.0187E-6	1.2786E-4	0.00	90.00	0.00	0.00	99.16	87.72	1.2796E-4	-1.2582E-5	7.9335E-5	3.2407E-3	1.9745E-9	-2.8913E-10	-5.5541E-9	1.2786E-4	NA	25020	3.80	6	-1.2584E-5	7.9335E-5	3.2407E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-8.7258E-7	4.8429E-6	1.2314E-4	0.00	90.00	0.00	0.00	100.21	87.71	1.2324E-4	-1.3566E-5	7.6561E-5	3.1211E-3	-4.4250E-9	4.8955E-9	-3.7718E-10	1.2314E-4	NA	25021	3.80	6	-1.3562E-5	7.6556E-5	3.1211E-3	1	Degauss X, Y, & Z	50	50	50	NA	NA	SAMPLE/CONTINUOUS	YES	NO
