Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5H	1.1071E-7	8.9831E-7	1.2158E-4	0.00	90.00	0.00	0.00	82.97	89.57	1.2158E-4	1.7213E-6	1.4200E-5	3.0816E-3	6.5162E-10	-9.5416E-11	-1.8329E-9	1.2158E-4	NA	25020	3.80	0.14	1.7206E-6	1.4200E-5	3.0816E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.3033E-6	8.5678E-7	1.2456E-4	0.00	90.00	0.00	0.00	33.32	89.28	1.2457E-4	2.0257E-5	1.3544E-5	3.1570E-3	6.8757E-10	-1.0068E-10	-1.9340E-9	1.2456E-4	NA	25020	3.80	0.15	2.0256E-5	1.3544E-5	3.1571E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.7332E-6	9.0591E-7	1.2782E-4	0.00	90.00	0.00	0.00	27.60	89.12	1.2784E-4	2.6938E-5	1.4320E-5	3.2398E-3	7.2351E-10	-1.0594E-10	-2.0351E-9	1.2782E-4	NA	25020	3.80	0.16	2.6937E-5	1.4321E-5	3.2398E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	1.2137E-6	1.1556E-6	1.3085E-4	0.00	90.00	0.00	0.00	43.59	89.27	1.3086E-4	1.8865E-5	1.8267E-5	3.3164E-3	7.5831E-10	-1.1104E-10	-2.1330E-9	1.3085E-4	NA	25020	3.80	0.17	1.8864E-5	1.8267E-5	3.3164E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-1.7246E-7	1.7235E-6	1.3317E-4	0.00	90.00	0.00	0.00	95.71	89.25	1.3319E-4	-2.6796E-6	2.7246E-5	3.3754E-3	7.9424E-10	-1.1630E-10	-2.2341E-9	1.3317E-4	NA	25020	3.80	0.18	-2.6804E-6	2.7246E-5	3.3754E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-1.2424E-6	2.3197E-6	1.3443E-4	0.00	90.00	0.00	0.00	118.17	88.88	1.3445E-4	-1.9309E-5	3.6670E-5	3.4072E-3	8.3018E-10	-1.2156E-10	-2.3352E-9	1.3443E-4	NA	25020	3.80	0.19	-1.9310E-5	3.6670E-5	3.4072E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-1.3870E-6	2.6886E-6	1.3490E-4	0.00	90.00	0.00	0.00	117.29	88.72	1.3493E-4	-2.1556E-5	4.2501E-5	3.4191E-3	8.6496E-10	-1.2665E-10	-2.4330E-9	1.3490E-4	NA	25020	3.80	0.20	-2.1557E-5	4.2501E-5	3.4191E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-1.5307E-6	2.8269E-6	1.3527E-4	0.00	90.00	0.00	0.00	118.43	88.64	1.3531E-4	-2.3789E-5	4.4688E-5	3.4286E-3	8.9977E-10	-1.3175E-10	-2.5309E-9	1.3527E-4	NA	25020	3.80	0.21	-2.3790E-5	4.4688E-5	3.4286E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-2.0018E-6	2.8598E-6	1.3601E-4	0.00	90.00	0.00	0.00	124.99	88.53	1.3606E-4	-3.1111E-5	4.5207E-5	3.4474E-3	9.3568E-10	-1.3701E-10	-2.6319E-9	1.3601E-4	NA	25020	3.80	0.22	-3.1112E-5	4.5208E-5	3.4474E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-2.8991E-6	2.8564E-6	1.3674E-4	0.00	90.00	0.00	0.00	135.43	88.30	1.3680E-4	-4.5057E-5	4.5153E-5	3.4659E-3	9.7163E-10	-1.4227E-10	-2.7331E-9	1.3674E-4	NA	25020	3.80	0.23	-4.5058E-5	4.5153E-5	3.4659E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-4.3362E-6	2.9365E-6	1.3695E-4	0.00	90.00	0.00	0.00	145.89	87.81	1.3705E-4	-6.7392E-5	4.6420E-5	3.4711E-3	1.0064E-9	-1.4737E-10	-2.8310E-9	1.3695E-4	NA	25020	3.80	0.24	-6.7393E-5	4.6420E-5	3.4711E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-5.1815E-6	2.9950E-6	1.3672E-4	0.00	90.00	0.00	0.00	149.97	87.49	1.3685E-4	-8.0529E-5	4.7344E-5	3.4654E-3	1.0424E-9	-1.5263E-10	-2.9321E-9	1.3672E-4	NA	25020	3.80	0.25	-8.0530E-5	4.7344E-5	3.4654E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5H	-4.8539E-6	2.9917E-6	1.3633E-4	0.00	90.00	0.00	0.00	148.35	87.61	1.3645E-4	-7.5438E-5	4.7292E-5	3.4553E-3	1.0795E-9	-1.5807E-10	-3.0365E-9	1.3633E-4	NA	25020	3.80	0.26	-7.5439E-5	4.7292E-5	3.4553E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
