Sample ID	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Z intensity	Temp C	Run #	Area	Depth	X corr	Y corr	Z corr	# MM averaged	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	Meas. type	Drift corrected	Tray corrected
C5G	-5.1986E-6	2.2837E-6	1.7705E-4	0.00	90.00	0.00	0.00	156.28	88.16	1.7714E-4	-8.0795E-5	3.6099E-5	4.4874E-3	1.3960E-9	-7.5927E-10	-1.3769E-9	1.7705E-4	NA	24996	3.80	0.14	-8.0797E-5	3.6100E-5	4.4874E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-3.1355E-6	2.2749E-6	1.7689E-4	0.00	90.00	0.00	0.00	144.04	88.75	1.7693E-4	-4.8730E-5	3.5962E-5	4.4834E-3	1.4779E-9	-8.0378E-10	-1.4577E-9	1.7689E-4	NA	24996	3.80	0.15	-4.8731E-5	3.5962E-5	4.4834E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-1.0969E-6	2.4534E-6	1.7738E-4	0.00	90.00	0.00	0.00	114.09	89.13	1.7740E-4	-1.7046E-5	3.8782E-5	4.4959E-3	1.5591E-9	-8.4797E-10	-1.5378E-9	1.7738E-4	NA	24996	3.80	0.16	-1.7047E-5	3.8783E-5	4.4959E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	3.8471E-7	2.6157E-6	1.7879E-4	0.00	90.00	0.00	0.00	81.63	89.15	1.7881E-4	5.9808E-6	4.1348E-5	4.5317E-3	1.6356E-9	-8.8954E-10	-1.6132E-9	1.7879E-4	NA	24996	3.80	0.17	5.9792E-6	4.1349E-5	4.5317E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	8.9867E-7	2.6429E-6	1.8097E-4	0.00	90.00	0.00	0.00	71.22	89.12	1.8099E-4	1.3969E-5	4.1777E-5	4.5869E-3	1.7124E-9	-9.3134E-10	-1.6890E-9	1.8097E-4	NA	24996	3.80	0.18	1.3967E-5	4.1778E-5	4.5869E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	4.2526E-7	2.5097E-6	1.8324E-4	0.00	90.00	0.00	0.00	80.38	89.20	1.8326E-4	6.6111E-6	3.9672E-5	4.6443E-3	1.7940E-9	-9.7569E-10	-1.7694E-9	1.8324E-4	NA	24996	3.80	0.19	6.6094E-6	3.9673E-5	4.6443E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-1.0060E-7	2.1765E-6	1.8580E-4	0.00	90.00	0.00	0.00	92.65	89.33	1.8581E-4	-1.5617E-6	3.4405E-5	4.7093E-3	1.8704E-9	-1.0172E-9	-1.8448E-9	1.8580E-4	NA	24996	3.80	0.20	-1.5636E-6	3.4406E-5	4.7093E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.7306E-7	1.5035E-6	1.8901E-4	0.00	90.00	0.00	0.00	79.71	89.54	1.8902E-4	4.2458E-6	2.3766E-5	4.7908E-3	1.9473E-9	-1.0591E-9	-1.9207E-9	1.8901E-4	NA	24996	3.80	0.21	4.2439E-6	2.3767E-5	4.7908E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	1.4082E-6	6.3961E-7	1.9319E-4	0.00	90.00	0.00	0.00	24.43	89.54	1.9319E-4	2.1888E-5	1.0110E-5	4.8965E-3	2.0309E-9	-1.1046E-9	-2.0031E-9	1.9319E-4	NA	24996	3.80	0.22	2.1886E-5	1.0111E-5	4.8965E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.4414E-6	-2.1221E-8	1.9839E-4	0.00	90.00	0.00	0.00	359.50	89.29	1.9840E-4	3.7947E-5	-3.3661E-7	5.0284E-3	2.1073E-9	-1.1461E-9	-2.0785E-9	1.9839E-4	NA	24996	3.80	0.23	3.7945E-5	-3.3546E-7	5.0284E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.5969E-6	-2.1685E-8	2.0354E-4	0.00	90.00	0.00	0.00	359.52	89.27	2.0355E-4	4.0364E-5	-3.4399E-7	5.1589E-3	2.1889E-9	-1.1905E-9	-2.1590E-9	2.0354E-4	NA	24996	3.80	0.24	4.0362E-5	-3.4280E-7	5.1589E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	1.8394E-6	6.6786E-7	2.0804E-4	0.00	90.00	0.00	0.00	19.96	89.46	2.0805E-4	2.8590E-5	1.0556E-5	5.2731E-3	2.2649E-9	-1.2318E-9	-2.2340E-9	2.0804E-4	NA	24996	3.80	0.25	2.8588E-5	1.0558E-5	5.2731E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	4.7848E-7	1.8054E-6	2.1143E-4	0.00	90.00	0.00	0.00	75.16	89.49	2.1144E-4	7.4389E-6	2.8538E-5	5.3590E-3	2.3417E-9	-1.2736E-9	-2.3097E-9	2.1143E-4	NA	24996	3.80	0.26	7.4366E-6	2.8539E-5	5.3590E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-5.2239E-7	2.6738E-6	2.1352E-4	0.00	90.00	0.00	0.00	101.05	89.27	2.1354E-4	-8.1165E-6	4.2266E-5	5.4118E-3	2.4182E-9	-1.3152E-9	-2.3852E-9	2.1352E-4	NA	24996	3.80	0.27	-8.1189E-6	4.2268E-5	5.4118E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-6.5758E-7	2.8205E-6	2.1499E-4	0.00	90.00	0.00	0.00	103.12	89.23	2.1501E-4	-1.0218E-5	4.4586E-5	5.4492E-3	2.4943E-9	-1.3566E-9	-2.4602E-9	2.1499E-4	NA	24996	3.80	0.28	-1.0220E-5	4.4587E-5	5.4492E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-1.9464E-7	2.3076E-6	2.1636E-4	0.00	90.00	0.00	0.00	94.82	89.39	2.1637E-4	-3.0226E-6	3.6478E-5	5.4838E-3	2.5710E-9	-1.3983E-9	-2.5358E-9	2.1636E-4	NA	24996	3.80	0.29	-3.0252E-6	3.6479E-5	5.4838E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.7885E-7	1.5360E-6	2.1790E-4	0.00	90.00	0.00	0.00	79.71	89.59	2.1791E-4	4.3365E-6	2.4280E-5	5.5230E-3	2.6476E-9	-1.4399E-9	-2.6114E-9	2.1790E-4	NA	24996	3.80	0.30	4.3339E-6	2.4282E-5	5.5230E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	2.8404E-7	8.7412E-7	2.1950E-4	0.00	90.00	0.00	0.00	72.00	89.76	2.1950E-4	4.4173E-6	1.3817E-5	5.5634E-3	2.7240E-9	-1.4815E-9	-2.6867E-9	2.1950E-4	NA	24996	3.80	0.31	4.4146E-6	1.3818E-5	5.5634E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
C5G	-6.1251E-7	6.4879E-7	2.2072E-4	0.00	90.00	0.00	0.00	133.35	89.77	2.2072E-4	-9.5168E-6	1.0255E-5	5.5943E-3	2.8004E-9	-1.5231E-9	-2.7621E-9	2.2072E-4	NA	24996	3.80	0.32	-9.5197E-6	1.0256E-5	5.5943E-3	1	Degauss Z - ARM axial	0	0	1000	0.50	AXIAL	SAMPLE/CONTINUOUS	YES	NO
