Sample ID	AF Z	X intensity	Y intensity	Z intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Declination: Unrotated	Inclination: Unrotated	Intensity	X mean	Y mean	Z mean	X drift	Y drift	Z drift	Position	Temp C	ARM Gauss	ARM axis	IRM Gauss	X corr	Y corr	Z corr	X std dev	Y std dev	Z std dev	# MM averaged	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Treatment Type	Meas. type	Drift corrected	Tray corrected	Depth	Run #	Settling time	Leader length	Trailer length
C5B	0	1.2349E-5	-1.0874E-5	2.1938E-5	0.00	90.00	0.00	0.00	318.63	53.13	2.7423E-5	1.9192E-4	-1.7189E-4	5.5604E-4	8.9519E-10	-1.2234E-9	1.0174E-10	14.0	NA	NA	NA	NA	1.9192E-4	-1.7189E-4	5.5604E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.14	22341	1.0	0.0	0.0
C5B	0	1.3533E-5	-1.0198E-5	2.1243E-5	0.00	90.00	0.00	0.00	323.00	51.42	2.7174E-5	2.1033E-4	-1.6122E-4	5.3844E-4	9.4559E-10	-1.2923E-9	1.0747E-10	15.0	NA	NA	NA	NA	2.1033E-4	-1.6122E-4	5.3843E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.15	22341	1.0	0.0	0.0
C5B	0	1.3591E-5	-9.2980E-6	2.0593E-5	0.00	90.00	0.00	0.00	325.62	51.35	2.6368E-5	2.1124E-4	-1.4698E-4	5.2195E-4	9.9445E-10	-1.3591E-9	1.1302E-10	16.0	NA	NA	NA	NA	2.1124E-4	-1.4698E-4	5.2195E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.16	22341	1.0	0.0	0.0
C5B	0	1.2959E-5	-8.1905E-6	1.9864E-5	0.00	90.00	0.00	0.00	327.71	52.34	2.5092E-5	2.0141E-4	-1.2948E-4	5.0348E-4	1.0466E-9	-1.4303E-9	1.1894E-10	17.0	NA	NA	NA	NA	2.0140E-4	-1.2948E-4	5.0348E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.17	22341	1.0	0.0	0.0
C5B	0	1.2244E-5	-7.0165E-6	1.9229E-5	0.00	90.00	0.00	0.00	330.18	53.73	2.3852E-5	1.9030E-4	-1.1092E-4	4.8738E-4	1.0970E-9	-1.4993E-9	1.2468E-10	18.0	NA	NA	NA	NA	1.9030E-4	-1.1092E-4	4.8738E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.18	22341	1.0	0.0	0.0
C5B	0	1.1841E-5	-6.0174E-6	1.8833E-5	0.00	90.00	0.00	0.00	333.06	54.81	2.3045E-5	1.8403E-4	-9.5125E-5	4.7734E-4	1.1458E-9	-1.5660E-9	1.3022E-10	19.0	NA	NA	NA	NA	1.8403E-4	-9.5123E-5	4.7734E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.19	22341	1.0	0.0	0.0
C5B	0	1.1992E-5	-5.4563E-6	1.8597E-5	0.00	90.00	0.00	0.00	335.53	54.68	2.2791E-5	1.8637E-4	-8.6255E-5	4.7136E-4	1.1946E-9	-1.6327E-9	1.3577E-10	20.0	NA	NA	NA	NA	1.8637E-4	-8.6254E-5	4.7136E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.20	22341	1.0	0.0	0.0
C5B	0	1.2427E-5	-5.5480E-6	1.8363E-5	0.00	90.00	0.00	0.00	335.94	53.46	2.2856E-5	1.9314E-4	-8.7705E-5	4.6543E-4	1.2451E-9	-1.7017E-9	1.4151E-10	21.0	NA	NA	NA	NA	1.9314E-4	-8.7703E-5	4.6543E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.21	22341	1.0	0.0	0.0
C5B	0	1.2788E-5	-6.1575E-6	1.8266E-5	0.00	90.00	0.00	0.00	334.29	52.15	2.3132E-5	1.9875E-4	-9.7340E-5	4.6296E-4	1.2939E-9	-1.7684E-9	1.4706E-10	22.0	NA	NA	NA	NA	1.9875E-4	-9.7338E-5	4.6296E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.22	22341	1.0	0.0	0.0
C5B	0	1.2879E-5	-6.9222E-6	1.8538E-5	0.00	90.00	0.00	0.00	331.74	51.74	2.3610E-5	2.0017E-4	-1.0943E-4	4.6986E-4	1.3427E-9	-1.8351E-9	1.5260E-10	23.0	NA	NA	NA	NA	2.0017E-4	-1.0943E-4	4.6986E-4	0.0000E+0	0.0000E+0	0.0000E+0	1	0.0000E+0	6.3000E-9	0.0000E+0	-8.6100E-9	0.0000E+0	7.1600E-10	None	SAMPLE/CONTINUOUS	YES	NO	0.23	22341	1.0	0.0	0.0
