Depth	MS corr
316	2.1000E+1
317	2.1000E+1
318	2.1000E+1
319	2.0000E+1
320	2.0000E+1
321	1.9000E+1
322	1.8000E+1
323	1.7000E+1
324	1.7000E+1
325	1.7000E+1
326	1.6000E+1
327	1.6000E+1
328	1.6000E+1
329	1.5000E+1
330	1.5000E+1
331	1.5000E+1
332	1.4000E+1
333	1.4000E+1
334	1.5000E+1
335	1.5000E+1
336	1.5000E+1
337	1.4000E+1
338	1.3000E+1
339	1.3000E+1
340	1.2000E+1
341	1.2000E+1
342	1.2000E+1
343	1.1000E+1
344	1.2000E+1
345	1.3000E+1
346	1.3000E+1
347	1.4000E+1
348	1.5000E+1
349	1.4000E+1
350	1.3000E+1
351	1.0000E+1
352	6.0000E+0
352	1.4000E+1
353	1.8000E+1
354	2.1000E+1
355	2.2000E+1
356	2.2000E+1
357	2.2000E+1
358	2.2000E+1
359	2.2000E+1
360	2.1000E+1
361	2.1000E+1
362	2.1000E+1
363	2.1000E+1
364	2.2000E+1
365	2.4000E+1
366	2.5000E+1
367	2.7000E+1
368	3.1000E+1
369	3.4000E+1
370	3.7000E+1
371	3.9000E+1
372	4.0000E+1
373	4.2000E+1
374	4.3000E+1
375	4.7000E+1
376	4.9000E+1
377	5.0000E+1
378	5.1000E+1
379	5.2000E+1
380	5.4000E+1
381	5.2000E+1
382	5.0000E+1
383	4.9000E+1
384	4.8000E+1
385	4.3000E+1
386	3.6000E+1
387	3.2000E+1
388	2.8000E+1
389	2.6000E+1
390	2.5000E+1
391	2.5000E+1
392	2.6000E+1
393	2.6000E+1
394	2.5000E+1
395	2.2000E+1
396	2.1000E+1
397	2.3000E+1
398	2.2000E+1
399	2.2000E+1
400	2.3000E+1
401	2.5000E+1
402	2.6000E+1
403	2.4000E+1
404	2.3000E+1
405	2.2000E+1
406	2.2000E+1
407	2.4000E+1
408	2.7000E+1
409	2.7000E+1
410	2.3000E+1
411	1.7000E+1
412	1.3000E+1
413	1.1000E+1
414	1.2000E+1
415	1.1000E+1
416	1.1000E+1
417	1.0000E+1
418	1.0000E+1
419	1.0000E+1
420	1.1000E+1
421	1.1000E+1
422	1.1000E+1
423	1.1000E+1
424	1.1000E+1
425	1.2000E+1
426	1.3000E+1
427	1.3000E+1
428	1.3000E+1
429	1.4000E+1
430	1.4000E+1
431	1.6000E+1
432	1.6000E+1
433	1.7000E+1
434	1.8000E+1
435	1.9000E+1
436	2.2000E+1
437	2.4000E+1
438	2.6000E+1
439	2.6000E+1
440	2.3000E+1
441	1.9000E+1
442	1.6000E+1
443	1.3000E+1
444	1.3000E+1
445	1.2000E+1
446	1.3000E+1
447	1.4000E+1
448	1.6000E+1
449	1.6000E+1
450	1.3000E+1
451	7.0000E+0
452	4.0000E+0
452	0.0000E+0
453	-1.0000E+0
454	1.0000E+0
455	3.0000E+0
456	7.0000E+0
