Depth,ratio,MS
289,0.00255737,17.0000
290,0.00244174,18.0000
291,0.00243669,18.0000
292,0.00242224,18.0000
293,0.00242083,18.0000
294,0.00244134,18.0000
295,0.00262272,17.0000
296,0.00265447,17.0000
297,0.00266150,17.0000
298,0.00280638,16.0000
299,0.00277726,16.0000
300,0.00294281,15.0000
301,0.00274936,16.0000
302,0.00293249,15.0000
303,0.00275485,16.0000
304,0.00276164,16.0000
305,0.00260316,17.0000
306,0.00260204,17.0000
307,0.00259799,17.0000
308,0.00259476,17.0000
309,0.00259734,17.0000
310,0.00246040,18.0000
311,0.00247318,18.0000
312,0.00249056,18.0000
313,0.00250162,18.0000
314,0.00236153,19.0000
315,0.00221892,20.0000
316,0.00208803,21.0000
317,0.00206776,21.0000
318,0.00204868,21.0000
319,0.00213174,20.0000
320,0.00210962,20.0000
321,0.00220104,19.0000
322,0.00231155,18.0000
323,0.00245212,17.0000
324,0.00247527,17.0000
325,0.00250259,17.0000
326,0.00267758,16.0000
327,0.00268172,16.0000
328,0.00266804,16.0000
329,0.00281912,15.0000
330,0.00279039,15.0000
331,0.00276788,15.0000
332,0.00296129,14.0000
333,0.00297900,14.0000
334,0.00280055,15.0000
335,0.00280581,15.0000
336,0.00278525,15.0000
337,0.00293455,14.0000
338,0.00308615,13.0000
339,0.00300696,13.0000
340,0.00319704,12.0000
341,0.00317508,12.0000
342,0.00318430,12.0000
343,0.00348767,11.0000
344,0.00319267,12.0000
345,0.00290932,13.0000
346,0.00281764,13.0000
347,0.00245338,14.0000
348,0.00207565,15.0000
357,0.00199881,22.0000
358,0.00209575,22.0000
359,0.00211820,22.0000
360,0.00217815,21.0000
361,0.00209066,21.0000
362,0.00200189,21.0000
363,0.00196180,21.0000
364,0.00189916,22.0000
365,0.00180658,24.0000
366,0.00183287,25.0000
367,0.00180691,27.0000
368,0.00167394,31.0000
369,0.00162069,34.0000
370,0.00158100,37.0000
371,0.00159842,39.0000
372,0.00165241,40.0000
373,0.00164711,42.0000
374,0.00165209,43.0000
375,0.00152332,47.0000
376,0.00146019,49.0000
377,0.00142709,50.0000
378,0.00139247,51.0000
379,0.00135501,52.0000
380,0.00129809,54.0000
381,0.00135349,52.0000
382,0.00143039,50.0000
383,0.00148902,49.0000
384,0.00152632,48.0000
385,0.00164546,43.0000
386,0.00181824,36.0000
387,0.00182733,32.0000
388,0.00186536,28.0000
389,0.00182039,26.0000
390,0.00175803,25.0000
391,0.00165749,25.0000
392,0.00151799,26.0000
393,0.00146729,26.0000
394,0.00149676,25.0000
395,0.00168262,22.0000
396,0.00175987,21.0000
397,0.00162605,23.0000
398,0.00174192,22.0000
399,0.00181086,22.0000
400,0.00181800,23.0000
401,0.00173963,25.0000
402,0.00171093,26.0000
403,0.00186566,24.0000
404,0.00194122,23.0000
405,0.00202756,22.0000
406,0.00203832,22.0000
407,0.00188290,24.0000
408,0.00168451,27.0000
409,0.00167671,27.0000
410,0.00190684,23.0000
411,0.00241602,17.0000
412,0.00290566,13.0000
413,0.00319166,11.0000
414,0.00283882,12.0000
415,0.00309083,11.0000
416,0.00308204,11.0000
417,0.00331309,10.0000
418,0.00316076,10.0000
419,0.00300758,10.0000
420,0.00263263,11.0000
421,0.00257170,11.0000
422,0.00254041,11.0000
423,0.00252947,11.0000
424,0.00253267,11.0000
425,0.00232891,12.0000
426,0.00215911,13.0000
427,0.00216747,13.0000
428,0.00216823,13.0000
429,0.00201054,14.0000
430,0.00201473,14.0000
431,0.00177419,16.0000
432,0.00178427,16.0000
433,0.00168472,17.0000
434,0.00159821,18.0000
435,0.00152704,19.0000
436,0.00133579,22.0000
437,0.00124248,24.0000
438,0.00115878,26.0000
439,0.00115796,26.0000
440,0.00128011,23.0000
