Depth,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000,0.0800000,0.100000,mean ratio,slope,r,r-squared,normalizer
68,0.00628929,0.00549794,,0.00622215,0.00642838,0.00621284,0.00610775,0.00408651,0.00334489,0.00552372,0.00603914,0.994207,0.988447,3.29998
69,0.00632829,0.00555307,,0.00630967,0.00650487,0.00630049,0.00620065,0.00412269,0.00339986,0.00558995,0.00608487,0.994264,0.988562,3.28117
70,0.00632552,0.00557730,,0.00635495,0.00654476,0.00633578,0.00622296,0.00409644,0.00335872,0.00560205,0.00609844,0.994333,0.988698,3.25182
71,0.00632494,0.00560475,,0.00639651,0.00658516,0.00635706,0.00621703,0.00403413,0.00325948,0.00559738,0.00611965,0.994403,0.988837,3.23224
72,0.00633260,0.00563037,,0.00643028,0.00661962,0.00637187,0.00619596,0.00395660,0.00311647,0.00558172,0.00614686,0.994423,0.988877,3.22602
73,0.00633019,0.00564002,,0.00644757,0.00663967,0.00637800,0.00615971,0.00387635,0.00294276,0.00555178,0.00616080,0.994382,0.988795,3.22062
74,0.00636110,0.00566868,,0.00649154,0.00668875,0.00642883,0.00618361,0.00385248,0.00285006,0.00556563,0.00619601,0.994262,0.988556,3.19583
75,0.00646005,0.00575637,,0.00660962,0.00680258,0.00657790,0.00631459,0.00398223,0.00294824,0.00568145,0.00628539,0.994191,0.988416,3.16916
76,0.00663220,0.00591810,,0.00681612,0.00700043,0.00680662,0.00654279,0.00426445,0.00322589,0.00590083,0.00644294,0.994249,0.988531,3.14839
77,0.00681810,0.00609168,,0.00702855,0.00719312,0.00701484,0.00675428,0.00456789,0.00349534,0.00612047,0.00661641,0.994380,0.988793,3.10731
78,0.00686740,0.00613946,,0.00709258,0.00724107,0.00704115,0.00679257,0.00467790,0.00359198,0.00618051,0.00666463,0.994445,0.988921,3.06007
79,0.00676996,0.00606148,,0.00699685,0.00714081,0.00690142,0.00667950,0.00460356,0.00353823,0.00608648,0.00657888,0.994535,0.989100,3.01494
