Depth,0.00500000,0.0100000,0.0150000,0.0200000,0.0250000,0.0300000,0.0400000,0.0500000,0.0600000, mean ratio, slope, r, r-squared, ARM
71,0.216656,0.216215,0.216195,0.227773,,0.272429,0.328006,0.382812,0.478829,0.292364,0.195471,0.998776,0.997554,0.105684
72,0.219502,0.218761,0.218558,0.230641,,0.275848,0.331587,0.384916,0.479270,0.294885,0.197900,0.998694,0.997389,0.104318
73,0.219672,0.218602,0.218048,0.230209,,0.275627,0.331155,0.382934,0.475132,0.293922,0.197935,0.998608,0.997219,0.104369
74,0.218521,0.217091,0.216378,0.228314,,0.274240,0.329480,0.381052,0.472445,0.292190,0.196646,0.998533,0.997069,0.105168
75,0.218862,0.217385,0.216551,0.228395,,0.275547,0.330766,0.384726,0.477290,0.293690,0.196674,0.998496,0.996993,0.106227
76,0.221618,0.220268,0.219512,0.231356,,0.280712,0.336451,0.393814,0.489409,0.299143,0.198872,0.998470,0.996942,0.107089
77,0.224008,0.223111,0.222780,0.234988,,0.286311,0.342221,0.402033,0.500262,0.304464,0.200971,0.998473,0.996949,0.107452
78,0.223268,0.223147,0.223126,0.235586,,0.287881,0.343517,0.402807,0.501942,0.305159,0.200501,0.998467,0.996936,0.106992
79,0.219809,0.220415,0.220388,0.233033,,0.285118,0.340392,0.397074,0.496340,0.301571,0.197602,0.998439,0.996880,0.105802
80,0.216245,0.217350,0.217409,0.229978,,0.281873,0.337452,0.390795,0.491397,0.297812,0.194444,0.998398,0.996798,0.104129
81,0.213977,0.215843,0.215748,0.228486,,0.279967,0.336477,0.388144,0.490657,0.296162,0.192445,0.998383,0.996768,0.102468
82,0.213164,0.215307,0.215158,0.228002,,0.279187,0.337301,0.388465,0.493517,0.296263,0.191478,0.998381,0.996764,0.101113
83,0.211862,0.199974,0.214171,0.226856,,0.277519,0.336261,0.387074,0.494691,0.293551,0.184741,0.996653,0.993318,0.100275
84,0.208250,0.196566,0.210514,0.222785,,0.271912,0.329622,0.378620,0.487770,0.288255,0.181589,0.996729,0.993468,0.100269
85,0.202395,0.190898,0.203908,0.215517,,0.262101,0.317224,0.362903,0.472050,0.278375,0.176727,0.996868,0.993745,0.101247
86,0.196610,0.185039,0.196811,0.207676,,0.251877,0.303739,0.345816,0.452635,0.267525,0.172058,0.996967,0.993944,0.102993
87,0.192990,0.180892,0.191468,0.201605,,0.243595,0.293081,0.332849,0.436562,0.259130,0.169205,0.997015,0.994039,0.105189
88,0.190935,0.178659,0.187877,0.197655,,0.237785,0.286009,0.323793,0.425164,0.253485,0.167830,0.997090,0.994188,0.107720
89,0.189911,0.177468,0.185687,0.194997,,0.234179,0.281843,0.317584,0.418264,0.249992,0.167221,0.997108,0.994225,0.110059
90,0.189689,0.177394,0.185017,0.194115,,0.232953,0.279913,0.314283,0.417356,0.248840,0.167324,0.997180,0.994367,0.111955
91,0.191199,0.179091,0.186295,0.195417,,0.235035,0.281756,0.316441,0.422811,0.251006,0.168775,0.997233,0.994473,0.113204
92,0.194634,0.182939,0.190097,0.199179,,0.240071,0.287647,0.323569,0.433797,0.256492,0.171945,0.997370,0.994746,0.113824
93,0.198850,0.187438,0.194609,0.204132,,0.245735,0.294687,0.332961,0.445855,0.263033,0.175715,0.997497,0.995000,0.114394
94,0.202308,0.191164,0.198403,0.207852,,0.249770,0.300052,0.340139,0.454921,0.268076,0.178877,0.997639,0.995284,0.115434
95,0.203887,0.193210,0.200431,0.209571,,0.251225,0.301742,0.343124,0.455312,0.269813,0.180608,0.997798,0.995600,0.117089
96,0.203252,0.193158,0.200077,0.209226,,0.249648,0.299969,0.341969,0.451219,0.268565,0.180425,0.997952,0.995909,0.119247
97,0.201291,0.191490,0.198267,0.207110,,0.246641,0.296035,0.338682,0.443814,0.265416,0.178898,0.998023,0.996049,0.121412
98,0.199069,0.189401,0.195775,0.204328,,0.242775,0.291045,0.334134,0.435448,0.261497,0.177070,0.998058,0.996119,0.123628
99,0.197036,0.187509,0.193053,0.201148,,0.238607,0.285849,0.328393,0.426220,0.257227,0.175504,0.998079,0.996161,0.126215
100,0.195894,0.186276,0.191069,0.198701,,0.234943,0.280391,0.321715,0.415972,0.253120,0.174897,0.998086,0.996176,0.129551
101,0.196110,0.186422,0.190100,0.197685,,0.232474,0.276712,0.315898,0.406412,0.250227,0.175603,0.998078,0.996160,0.133721
102,0.197730,0.187850,0.191098,0.198158,,0.232489,0.276430,0.314772,0.401668,0.250024,0.177423,0.998061,0.996126,0.137761
103,0.200623,0.191131,0.193960,0.200699,,0.235152,0.278608,0.317626,0.402675,0.252559,0.180502,0.998169,0.996341,0.141430
104,0.203424,0.193832,0.196483,0.203380,,0.237946,0.282167,0.322285,0.408092,0.255951,0.183020,0.998171,0.996344,0.144845
105,0.203406,0.193798,0.196606,0.203199,,0.238219,0.282305,0.322977,0.411129,0.256455,0.182850,0.998169,0.996342,0.147874
106,0.199029,0.189574,0.192315,0.198864,,0.233340,0.276844,0.317823,0.410862,0.252331,0.178529,0.998160,0.996323,0.150593
107,0.191120,0.182250,0.185140,0.191394,,0.225478,0.267725,0.308650,0.407606,0.244921,0.170979,0.998202,0.996407,0.152583
108,0.182819,0.174168,0.177232,0.183794,,0.217280,0.258590,0.298892,0.402945,0.236965,0.162831,0.998147,0.996298,0.153765
109,0.176776,0.168470,0.171785,0.178259,,0.212080,0.252935,0.292431,0.399563,0.231537,0.156910,0.998109,0.996221,0.154344
110,0.173780,0.165747,0.169313,0.176139,,0.210551,0.251070,0.289545,0.396397,0.229068,0.154015,0.998080,0.996164,0.154956
111,0.172504,0.164635,0.168223,0.175335,,0.210013,0.249698,0.285548,0.388749,0.226838,0.153089,0.998044,0.996092,0.156448
112,0.171138,0.163270,0.166494,0.173535,,0.207726,0.246138,0.277867,0.374928,0.222637,0.152351,0.997981,0.995966,0.159180
113,0.169447,0.161136,0.163884,0.170420,,0.203499,0.240557,0.268141,0.358971,0.217007,0.151223,0.997851,0.995706,0.163392
114,0.167827,0.159048,0.160792,0.167046,,0.198609,0.234526,0.259790,0.346868,0.211813,0.149942,0.997678,0.995361,0.169444
115,0.166515,0.157191,0.158611,0.164224,,0.194634,0.230510,0.254907,0.340586,0.208397,0.148719,0.997515,0.995036,0.176663
116,0.165349,0.156227,0.157073,0.162435,,0.192063,0.227181,0.252017,0.337501,0.206231,0.147790,0.997527,0.995060,0.184576
117,0.162946,0.154167,0.154602,0.159869,,0.188152,0.223111,0.248587,0.335027,0.203308,0.145680,0.997592,0.995189,0.192705
118,0.158703,0.150251,0.150777,0.155817,,0.182842,0.216918,0.243518,0.329483,0.198539,0.141834,0.997688,0.995382,0.199829
119,0.153116,0.145041,0.145463,0.150379,,0.175957,0.208951,0.236303,0.322908,0.192265,0.136694,0.997739,0.995482,0.206560
120,0.146926,0.139528,0.139682,0.144405,,0.169048,0.200807,0.228311,0.314822,0.185441,0.131104,0.997812,0.995629,0.212000
121,0.141670,0.134385,0.134622,0.139269,,0.162823,0.193288,0.220254,0.305386,0.178962,0.126296,0.997797,0.995599,0.216435
122,0.137642,0.130604,0.130735,0.135259,,0.157921,0.187353,0.212652,0.296110,0.173534,0.122800,0.997807,0.995618,0.219578
123,0.135034,0.128095,0.128319,0.132763,,0.154835,0.183075,0.206944,0.287490,0.169569,0.120639,0.997836,0.995677,0.221099
124,0.134143,0.127210,0.127422,0.131850,,0.153836,0.181588,0.205102,0.282657,0.167976,0.119890,0.997814,0.995633,0.221358
125,0.135133,0.128134,0.128346,0.132816,,0.155523,0.183215,0.207110,0.283366,0.169205,0.120689,0.997764,0.995532,0.220719
126,0.138040,0.130937,0.131080,0.135616,,0.159605,0.188038,0.212754,0.288420,0.173061,0.123120,0.997685,0.995375,0.219500
127,0.141968,0.134739,0.134828,0.139705,,0.164912,0.193982,0.219545,0.294977,0.178082,0.126532,0.997649,0.995303,0.217910
128,0.146135,0.138715,0.138707,0.143815,,0.170061,0.199787,0.225616,0.301035,0.182984,0.130212,0.997599,0.995203,0.216370
129,0.150252,0.142921,0.142980,0.148293,,0.175340,0.205357,0.231743,0.307012,0.187987,0.134066,0.997705,0.995415,0.215012
130,0.154729,0.147431,0.147694,0.153392,,0.180953,0.211609,0.238916,0.315003,0.193716,0.138205,0.997834,0.995673,0.213534
131,0.159303,0.152182,0.152607,0.158624,,0.186859,0.218741,0.247091,0.325926,0.200166,0.142357,0.997968,0.995939,0.211442
132,0.163353,0.156544,0.157193,0.163554,,0.192640,0.225944,0.255054,0.337953,0.206529,0.145985,0.998106,0.996215,0.208054
133,0.166546,0.159871,0.160933,0.167503,,0.197200,0.231854,0.261652,0.349505,0.211883,0.148716,0.998210,0.996423,0.203556
134,0.168691,0.162464,0.163659,0.170539,,0.200665,0.236622,0.266700,0.358991,0.216041,0.150607,0.998330,0.996663,0.198405
135,0.170855,0.164988,0.166639,0.173419,,0.204314,0.240965,0.271192,0.366597,0.219871,0.152605,0.998447,0.996897,0.193192
136,0.173286,0.167631,0.169409,0.176523,,0.207785,0.244824,0.274654,0.371293,0.223176,0.154901,0.998507,0.997017,0.189022
137,0.174234,0.168892,0.170778,0.178053,,0.209783,0.246850,0.275087,0.371975,0.224456,0.155962,0.998539,0.997080,0.185813
