Sample ID	Run #	Sample Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X mean	X corr	Y intensity	Y mean	Y corr	Z intensity	Z mean	Z corr	Treatment Type	AF X	AF Y	AF Z	IRM Gauss	Meas. type	Drift corrected	X responce	Y responce	Z responce
C5A	60201	21/03/20 0016	3.80	0.14	-80.87	-80.87	-80.87	29.06	29.06	29.06	3.0272E-3	0.00	90.00	0.00	0.00	0.00	4.1985E-4	6.5252E-3	6.5253E-3	2.3329E-4	3.6878E-3	3.6879E-3	-2.9889E-3	-8.2653E-2	-7.5756E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.15	-84.55	-84.55	-84.55	53.29	53.29	53.29	2.7346E-3	0.00	90.00	0.00	0.00	0.00	1.5523E-4	2.4126E-3	2.4126E-3	2.0819E-4	3.2910E-3	3.2910E-3	-2.7222E-3	-7.6333E-2	-6.8997E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.16	-85.73	-85.73	-85.73	96.69	96.69	96.69	2.6578E-3	0.00	90.00	0.00	0.00	0.00	-2.3060E-5	-3.5844E-4	-3.5839E-4	1.9653E-4	3.1067E-3	3.1067E-3	-2.6504E-3	-7.4939E-2	-6.7177E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.17	-85.80	-85.80	-85.80	117.91	117.91	117.91	2.6970E-3	0.00	90.00	0.00	0.00	0.00	-9.2428E-5	-1.4366E-3	-1.4365E-3	1.7447E-4	2.7580E-3	2.7580E-3	-2.6897E-3	-7.6334E-2	-6.8174E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.18	-86.15	-86.15	-86.15	143.91	143.91	143.91	2.7737E-3	0.00	90.00	0.00	0.00	0.00	-1.5041E-4	-2.3377E-3	-2.3376E-3	1.0965E-4	1.7333E-3	1.7333E-3	-2.7674E-3	-7.8714E-2	-7.0144E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.19	-84.78	-84.78	-84.78	177.71	177.71	177.71	2.9027E-3	0.00	90.00	0.00	0.00	0.00	-2.6376E-4	-4.0994E-3	-4.0993E-3	1.0556E-5	1.6684E-4	1.6686E-4	-2.8906E-3	-8.2262E-2	-7.3266E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.20	-83.38	-83.38	-83.38	190.00	190.00	190.00	3.1272E-3	0.00	90.00	0.00	0.00	0.00	-3.5513E-4	-5.5195E-3	-5.5195E-3	-6.2613E-5	-9.8981E-4	-9.8979E-4	-3.1063E-3	-8.8155E-2	-7.8733E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.21	-83.79	-83.79	-83.79	190.86	190.86	190.86	3.4064E-3	0.00	90.00	0.00	0.00	0.00	-3.6170E-4	-5.6216E-3	-5.6215E-3	-6.9385E-5	-1.0969E-3	-1.0968E-3	-3.3864E-3	-9.5663E-2	-8.5832E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.22	-86.06	-86.06	-86.06	181.92	181.92	181.92	3.6013E-3	0.00	90.00	0.00	0.00	0.00	-2.4752E-4	-3.8469E-3	-3.8469E-3	-8.2919E-6	-1.3110E-4	-1.3108E-4	-3.5928E-3	-1.0130E-1	-9.1062E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
C5A	60201	21/03/20 0016	3.80	0.23	-88.26	-88.26	-88.26	130.65	130.65	130.65	3.6753E-3	0.00	90.00	0.00	0.00	0.00	-7.2585E-5	-1.1282E-3	-1.1281E-3	8.4538E-5	1.3364E-3	1.3364E-3	-3.6736E-3	-1.0377E-1	-9.3112E-2	IRM	0	0	0	9000	SAMPLE/CONTINUOUS	YES	4.09	4.16	6.67
