565.03, 9.5063
576.44, 9.5070
583.47, 10.046
593.12, 10.156
600.14, 10.587
611.55, 9.8309
619.01, 9.8296
628.23, 9.6148
634.37, 9.0743
646.66, 9.7225
652.80, 9.2902
665.09, 7.5619
671.24, 8.5345
683.52, 9.9387
687.91, 8.3179
701.96, 8.5345
706.35, 8.7503
718.63, 10.156
723.02, 9.0746
736.19, 8.4260
741.45, 8.3183
754.62, 6.9130
759.01, 6.5897
773.05, 7.5622
776.56, 7.7787
789.73, 7.2347
794.12, 5.6172
